ch_1_SPECTRO_GRAPH;ch_1_SPECTRO;1
155167;4218;64.9461
155500;4244;65.146
155833;2823;53.1319
156167;4122;64.2028
156500;2858;53.4603
156833;4106;64.0781
157167;4031;63.4902
157500;2577;50.7642
157833;4028;63.4665
158167;2693;51.8941
158500;4026;63.4508
158833;4004;63.2772
159167;2709;52.0481
159500;4100;64.0312
159833;2909;53.9351
160167;3874;62.2415
160500;3932;62.7057
160833;2747;52.4118
161167;3876;62.2575
161500;3884;62.3217
161833;2497;49.97
162167;3830;61.887
162500;2511;50.1099
162833;3795;61.6036
163167;3754;61.2699
163500;2481;49.8096
163833;3872;62.2254
164167;2381;48.7955
164500;3691;60.7536
164833;3752;61.2536
165167;2428;49.2747
165500;3623;60.1914
165833;2403;49.0204
166167;3562;59.6825
166500;3701;60.8358
166833;2488;49.8799
167167;3569;59.7411
167500;2498;49.98
167833;3863;62.153
168167;3547;59.5567
168500;2430;49.295
168833;3635;60.291
169167;2409;49.0816
169500;3590;59.9166
169833;3384;58.1722
170167;2286;47.8121
170500;3417;58.4551
170833;2417;49.163
171167;3443;58.6771
171500;3306;57.4978
171833;2161;46.4866
172167;3395;58.2666
172500;2179;46.6798
172833;3427;58.5406
173167;3420;58.4808
173500;2213;47.0425
173833;3296;57.4108
174167;2212;47.0319
174500;3326;57.6715
174833;3385;58.1808
175167;2273;47.676
175500;3245;56.9649
175833;2242;47.3498
176167;3453;58.7622
176500;3272;57.2014
176833;2208;46.9894
177167;3439;58.643
177500;3260;57.0964
177833;2146;46.3249
178167;3125;55.9017
178500;2195;46.8508
178833;3135;55.9911
179167;3234;56.8683
179500;2098;45.8039
179833;3197;56.542
180167;2080;45.607
180500;3062;55.3353
180833;3169;56.2939
181167;2161;46.4866
181500;3165;56.2583
181833;2015;44.8888
182167;3062;55.3353
182500;3109;55.7584
182833;2043;45.1996
183167;3149;56.116
183500;1984;44.5421
183833;2899;53.8424
184167;3149;56.116
184500;2058;45.3652
184833;2947;54.2863
185167;2063;45.4203
185500;3038;55.1181
185833;2916;54
186167;1985;44.5533
186500;2946;54.2771
186833;1871;43.2551
187167;2978;54.5711
187500;2889;53.7494
187833;1900;43.589
188167;2800;52.915
188500;1852;43.0349
188833;2690;51.8652
