ch_1_SPECTRO_GRAPH;ch_1_SPECTRO;1
479000;2;1.41421
479667;0;0
480333;1;1
481000;1;1
481667;2;1.41421
482333;1;1
483000;5;2.23607
483667;0;0
484333;1;1
485000;2;1.41421
485667;1;1
486333;1;1
487000;1;1
487667;0;0
488333;1;1
489000;1;1
489667;0;0
490333;1;1
491000;2;1.41421
491667;0;0
492333;1;1
493000;0;0
493667;3;1.73205
494333;1;1
495000;1;1
495667;2;1.41421
496333;3;1.73205
497000;1;1
497667;1;1
498333;2;1.41421
499000;2;1.41421
499667;1;1
500333;1;1
501000;0;0
501667;1;1
502333;0;0
503000;0;0
503667;1;1
504333;1;1
505000;1;1
505667;2;1.41421
506333;4;2
507000;2;1.41421
507667;2;1.41421
508333;0;0
509000;2;1.41421
509667;2;1.41421
510333;0;0
511000;1;1
511667;1;1
512333;2;1.41421
513000;1;1
513667;0;0
514333;0;0
515000;0;0
515667;1;1
516333;0;0
517000;1;1
517667;0;0
518333;1;1
519000;1;1
519667;3;1.73205
520333;1;1
521000;0;0
521667;2;1.41421
522333;2;1.41421
523000;0;0
523667;2;1.41421
524333;1;1
525000;1;1
525667;0;0
526333;2;1.41421
527000;2;1.41421
527667;0;0
528333;2;1.41421
529000;2;1.41421
529667;1;1
530333;1;1
531000;1;1
531667;0;0
532333;2;1.41421
533000;1;1
533667;1;1
534333;3;1.73205
535000;0;0
535667;1;1
536333;1;1
537000;0;0
537667;0;0
538333;0;0
539000;1;1
539667;2;1.41421
540333;1;1
541000;1;1
541667;3;1.73205
542333;0;0
543000;1;1
543667;1;1
544333;0;0
545000;0;0
545667;1;1
546333;1;1
547000;1;1
547667;0;0
548333;2;1.41421
549000;0;0
549667;1;1
550333;2;1.41421
551000;3;1.73205
551667;2;1.41421
552333;2;1.41421
553000;0;0
553667;4;2
554333;3;1.73205
555000;1;1
555667;2;1.41421
556333;0;0
557000;0;0
557667;2;1.41421
558333;0;0
559000;0;0
559667;1;1
560333;1;1
561000;1;1
561667;0;0
562333;1;1
563000;1;1
563667;0;0
564333;2;1.41421
565000;1;1
565667;1;1
566333;3;1.73205
567000;0;0
567667;0;0
